title,summary,url
Braithwaite railway station,"Braithwaite railway station was situated on the Cockermouth, Keswick and Penrith Railway between Penrith and Cockermouth in Cumbria, England. The station served the village of Braithwaite.
The station opened to passenger traffic on 2 January 1865. The station was host to six LMS caravans in 1934 and 1935 followed by eight caravans from 1936 to 1939. A camping coach was also positioned here by the London Midland Region from 1958 to 1964.
The station closed on 18 April 1966.
The station building survives as a private residence.

",https://en.wikipedia.org/wiki/Braithwaite_railway_station
Clásico Cruceño,"The Clasico Cruceño is a classic match between Oriente Petrolero and Blooming, both from the city of Santa Cruz de la Sierra, Bolivia. Today it is one of the most heavily contested classics of Bolivian football, with the derby attracting some of the greatest attendances in Bolivian football. It has a history of violence amongst both hooligans and ordinary supporters.",https://en.wikipedia.org/wiki/Cl%C3%A1sico_Cruce%C3%B1o
Qaleh Kurd,"Qaleh Kurd cave (Persian: غار قلعه‌کُرد) is the oldest archaeological site discovered in Iran. The cave is located at the very western limit of the Iranian Central Plateau, not far from the village of Qaleh in Qazvin province, surrounded by the Alborz and Zagros Mountains.",https://en.wikipedia.org/wiki/Qaleh_Kurd
House sitting,"House sitting is the practice whereby a person leaving their house for a period of time entrusts it to one or more ""house sitters"", who by a mutual agreement are permitted to live or stay in the property temporarily, in exchange for assuming any combination of responsibilities. These can include taking care of the home owner's pets, performing general maintenance (including pools, lawns, air-conditioning systems, etc.), keeping trespassers off the property, readdressing the mail, and in general, making sure that everything runs smoothly, just as if the owner was at home.

",https://en.wikipedia.org/wiki/House_sitting
Eastern Alberta Transmission Line,"Eastern Alberta Transmission Line is a 485 km long, 500 kV, bipolar, high-voltage direct current, overhead transmission line interconnecting the Newell HVDC static inverter plant near Brooks, Alberta, with Heathfield static inverter plant near Gibbons, Alberta, northeast of Edmonton.
The transmission line includes 1387 transmission towers and the construction of the 500kV DC transmission line has been completed since December 2014 at a total cost of C$1.8 billion. Work continues on the EATL converter stations.  The project is the first newly built, long-distance, HVDC line in Canada since the completion of the Quebec – New England Transmission Project, and is owned by ATCO Electric, being built by Siemens. See also Western Alberta Transmission Line (WATL).
Eastern Alberta Transmission Line is used as Western Alberta Transmission Line in opposite to other HVDC schemes such as Nelson River Bipole an insulated, metallic conductor for the neutral pole, in order to avoid any risk of electrochemical corrosion of oil and gas pipelines.

",https://en.wikipedia.org/wiki/Eastern_Alberta_Transmission_Line
Kroloteans,The Kroloteans are a fictional extraterrestrial race existing in the DC Universe. They first appear in Green Lantern (vol. 4) #4.,https://en.wikipedia.org/wiki/Kroloteans
New Zealand at the 2013 World Championships in Athletics,"New Zealand is competing at the 2013 World Championships in Athletics in Moscow, Russia, from 10–18 August 2013.
A team of 9 athletes was announced to represent the country in the event.",https://en.wikipedia.org/wiki/New_Zealand_at_the_2013_World_Championships_in_Athletics
Western State Hospital (Kentucky),"The Western State Hospital is a publicly funded psychiatric hospital in Hopkinsville, Kentucky.",https://en.wikipedia.org/wiki/Western_State_Hospital_(Kentucky)
Leucozonia rudis,"Leucozonia rudis is a species of sea snail, a marine gastropod mollusk in the family Fasciolariidae, the spindle snails, the tulip snails and their allies.",https://en.wikipedia.org/wiki/Leucozonia_rudis
KK Kaštela,"Košarkaški klub Kaštela (for sponsorship reasons also known as Ribola Kaštela) is a professional basketball club based in Kaštela, Croatia. It competes in the Prva liga.",https://en.wikipedia.org/wiki/KK_Ka%C5%A1tela
Koza İpek Holding,"Koza İpek Holding is a Turkish conglomerate. It includes twelve companies, three of them are publicly traded and mining companies Koza Altın and Koza Anadolu (Koza Anadolu Metal Madencilik Isletmeleri A.S., quoted as KOZAA) and İpek Dogal Energy IPEKEE.

",https://en.wikipedia.org/wiki/Koza_%C4%B0pek_Holding
National Cycle Route 42,"National Cycle Route 42 is a part of the National Cycle Network running from Glasbury in Mid Wales to Gloucester in England. It provides a north–south link from Route 8 (Lon Las Cymru) to Route 4, and provides an alternative south route for Lon Las Cymru for those starting at Chepstow instead of Cardiff. It is also part of the Celtic Trail.
This should not be confused with Regional Cycle Route 42 in Suffolk.

",https://en.wikipedia.org/wiki/National_Cycle_Route_42
I'd Like To,"MILF (, as if read as ""milf"") is an acronym that stands for ""Mother I'd Like to Fuck"". This abbreviation is used in colloquial English, instead of the whole phrase. It connotes an older woman, typically one with children, considered sexually attractive. A related term is ""cougar"", which suggests an older woman in active pursuit of a sexual relationship with younger men.

",https://en.wikipedia.org/wiki/MILF
Small-scaled wonder gecko,The small-scaled wonder gecko (Teratoscincus microlepis) is a species of lizard in the family Sphaerodactylidae. The species is endemic to Western and South Asia.,https://en.wikipedia.org/wiki/Small-scaled_wonder_gecko
1979–80 Coppa Italia,"The 1979–80 Coppa Italia, the 33rd Coppa Italia was an Italian Football Federation domestic cup competition won by Roma.",https://en.wikipedia.org/wiki/1979%E2%80%9380_Coppa_Italia
Rhinodoras,Rhinodoras is a genus of thorny catfishes native to South America.,https://en.wikipedia.org/wiki/Rhinodoras
Northern Alberta Institute of Technology,"The Northern Alberta Institute of Technology (NAIT) is a public polytechnic and applied sciences institute in Edmonton, Alberta, Canada.
NAIT offers approximately 120 credit programs leading to degrees, applied degrees, diplomas, and certificates. As of 2023, there are approximately 15,700 students enrolled in credit programs, 7,009 apprentices registered in apprenticeship training, 12,100 students enrolled in non-credit courses, and more than 20,000 registrants for customized corporate based training. NAIT also attracts international students from 84 countries. NAIT is similar to an institute of technology or university of applied sciences as termed in other jurisdictions.  The campus newspaper, the NAIT Nugget, is a member of the Canadian University Press (CUP).",https://en.wikipedia.org/wiki/Northern_Alberta_Institute_of_Technology
Detroit and Cleveland Navigation Company,"Detroit and Cleveland Navigation Company, often abbreviated as D&C, was a shipping company on the Great Lakes.

",https://en.wikipedia.org/wiki/Detroit_and_Cleveland_Navigation_Company
Stempfferia dorothea,"Stempfferia dorothea is a butterfly in the family Lycaenidae. It is found in Sierra Leone, Liberia, Ivory Coast, Ghana and Togo. The habitat consists of forests.

",https://en.wikipedia.org/wiki/Stempfferia_dorothea
White-throated grass mouse,"The white-throated or grey-bellied grass mouse (Akodon simulator) is a species of rodent in the family Cricetidae.
It is found in Argentina and Bolivia.",https://en.wikipedia.org/wiki/White-throated_grass_mouse
Poker Night Live,"Poker Night Live was the United Kingdom's first live Internet poker show, broadcast between 2005 and 2007 on Pokerzone, usually between 9pm and 1am. Versions of it have been broadcast worldwide.
The show, in its live form, finished in May 2007, although repeats of past episodes were still broadcast until the closure of the Pokerzone channel the following year.",https://en.wikipedia.org/wiki/Poker_Night_Live
Luna E-1A No.1,"Luna E-1A No.1 or E-1 No.5, sometimes identified by NASA as Luna 1959A, was a Soviet spacecraft which was lost in a launch failure in 1959. It was a 387-kilogram (853 lb) Luna E-1A spacecraft, the first of two to be launched. It was intended to impact the surface of the Moon, and in doing so would have been the first man-made object to reach its surface.
Launch was originally scheduled for June 16, but delayed two days after a careless lieutenant had the booster filled with the wrong grade of RP-1 propellant. Luna E-1A No.1 was launched at 08:08 UTC on 18 June 1959 atop a Luna 8K72 carrier rocket, flying from Site 1/5 at the Baikonur Cosmodrome. The launch went entirely according to plan through strap-on separation. At T+153 seconds, the yaw gyro failed and the core stage began deviating from its flight trajectory. The AVD system terminated thrust and the booster crashed 841 km (522 miles) downrange.
The spacecraft was intended to conduct experiments during its flight towards the Moon. It would also have released gaseous sodium, in order to create a cloud of the metal which could be observed from Earth, allowing the spacecraft to be tracked. Prior to the release of information about its mission, NASA correctly identified that it had been an attempted lunar impact mission, however they incorrectly believed that it had been launched on 16 June, two days before its actual launch.",https://en.wikipedia.org/wiki/Luna_E-1A_No.1
Zhuliao station,"Zhuliao station (Chinese: 竹料站), is a station of Line 14 of the Guangzhou Metro. It started operations on 28 December 2018. This will be a stop on the under construction Guangzhou–Foshan circular intercity railway.",https://en.wikipedia.org/wiki/Zhuliao_station
Kawagoe Station,"Kawagoe Station (川越駅, Kawagoe-eki) is an interchange passenger railway station in located in the city of Kawagoe, Saitama, Japan, operated by the private railway operator Tōbu Railway and East Japan Railway Company (JR East).",https://en.wikipedia.org/wiki/Kawagoe_Station
High Sheriff of Dorset,"The High Sheriff of Dorset is an ancient high sheriff title which has been in existence for over one thousand years. Until 1567 the Sheriff of Somerset was also the Sheriff of Dorset.
On 1 April 1974, under the provisions of the Local Government Act 1972, the title of Sheriff of Dorset was retitled High Sheriff of Dorset.
The position was once a powerful position responsible for collecting taxes and enforcing law and order in Dorset. In modern times the high sheriff has become a ceremonial role, presiding over public ceremonies.

",https://en.wikipedia.org/wiki/High_Sheriff_of_Dorset
Benzambe,"Benzambe is a village located in the Central African Republic prefecture of Ouham northwest of Bossangoa.

",https://en.wikipedia.org/wiki/Benzambe
Chalcosia,"Chalcosia is a genus of moths in the family Zygaenidae.

",https://en.wikipedia.org/wiki/Chalcosia
HTC One VX,"The HTC One VX is an Android smartphone designed and manufactured by HTC. Released on November 16, 2012, by AT&T, it is a mid-range device carrying design traits from the remaining One series devices (such as the One X).

",https://en.wikipedia.org/wiki/HTC_One_VX
Syntypistis subgeneris,"Syntypistis subgeneris is a species of moth of the family Notodontidae first described by Strand in 1915. It is found in China (Jiangsu, Zhejiang, Anhui, Fujian, Jiangxi, Hunan, Guangdong, Guangxi, Hainan), Taiwan, Japan, Korea, Sikkim and Vietnam.",https://en.wikipedia.org/wiki/Syntypistis_subgeneris
"Fauntleroy, Seattle","Fauntleroy is a neighborhood in the southwest corner of Seattle, Washington. Part of West Seattle and situated on Puget Sound's Fauntleroy Cove (into which Fauntleroy Creek flows from its source in Fauntleroy Park), it faces Vashon Island, Blake Island, and the Kitsap Peninsula to the west. On sunny days, many locations in the neighborhood offer views of the Olympic Mountains, which are about 40 miles (64 km) to the west. The neighborhood adjoins Lincoln Park to the north, Fauntlee Hills to the east, and Arbor Heights to the south. Within Fauntleroy is an area known as Endolyne (the ""end of the line"" of the Fauntleroy Park streetcar route in the early 1900s). Fauntleroy is home to an eponymous Washington State Ferries terminal, providing service to Vashon Island and Southworth. 
Fauntleroy Way runs into the West Seattle Bridge, which runs across the Duwamish Waterway (Duwamish River).","https://en.wikipedia.org/wiki/Fauntleroy,_Seattle"
Tillandsia subg. Tillandsia,"Tillandsia is a genus of around 650 species of evergreen, perennial flowering plants in the family Bromeliaceae, native to the forests, mountains and deserts of the Neotropics, from northern Mexico and the southeastern United States to Mesoamerica and the Caribbean to central Argentina. Their leaves, more or less silvery in color, are covered with specialized cells (trichomes) capable of rapidly absorbing water that gathers on them.
They are also commonly known as air plants because they obtain nutrients and water from the air, not needing soil for nourishment. They have a natural propensity to cling to whatever surfaces are readily available: telephone wires, tree branches, bark, bare rocks, etc. Their light seeds and a silky parachute facilitate their spread.  Most Tillandsia species are epiphytes – which translates to 'upon a plant'. Some are aerophytes, which have a minimal root system and grow on shifting desert soil. Due to their epiphytic way of life, these plants will not grow in soil but live on the branches of trees, in deserts and on other substrates that will not be saturated with water for very long.

",https://en.wikipedia.org/wiki/Tillandsia
